"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Синтаксическая проверка конфигурации. Конфигуратор","Возможно ошибочный метод","76","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Не обнаружено ссылок на функцию","107","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","блокировки информационной базы для конфигурирования.","1","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Отсутствует обработчик","187","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Переменная не определена","151","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Возможно ошибочное свойство","39","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Процедура или функция с указанным именем не определена","40","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Не обнаружено ссылок на процедуру","164","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Возможно ошибочный параметр","15","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Пустой обработчик","93","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Тип не определен","7","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","Ожидается ключевое слово","1","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","этой информационной базой уже работает конфигуратор","1","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","IT-1C-16, сеанс: 4, начат: 24.08.2022 в 13:13:28, приложение: Конфигуратор","1","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","IT-1C-16, сеанс: 8, начат: 10.08.2022 в 15:45:08, приложение: Конфигуратор","1","0","0","0","0"
"","Синтаксическая проверка конфигурации. Конфигуратор","информационная база уже открыта Конфигуратором.","1","0","0","0","0"
"","","","1","120","442","1","0"
