"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 11 00:29:13 MSK 2022","Thu Aug 11 00:29:34 MSK 2022","21286","","","","","","Документ.ВозвратТоваровОтКлиента.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ПроверитьРоль"""
"failed","Thu Aug 11 04:18:03 MSK 2022","Thu Aug 11 04:18:24 MSK 2022","21286","","","","","","Обработка.toledo_УстановкаСтатусовЗНП.Форма.ФормаУПП.Форма. Возможно ошибочное свойство","Возможно ошибочное свойство: ""Здания"""
"failed","Thu Aug 11 01:44:47 MSK 2022","Thu Aug 11 01:45:08 MSK 2022","21286","","","","","","Документ.удалитьCRM_Мероприятие.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""СвоиЛицаАдресПриИзменении"""
"failed","Thu Aug 11 01:39:06 MSK 2022","Thu Aug 11 01:39:28 MSK 2022","21286","","","","","","Документ.СписаниеНедостачТоваров.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: LAD_Инструкция ""LAD_Инструкция"""
"failed","Thu Aug 11 04:02:26 MSK 2022","Thu Aug 11 04:02:47 MSK 2022","21286","","","","","","Обработка.toledo_РаботаCWacomSTU.Форма.РаботаСWacomSTUКлиент.Форма. 408,20: Процедура или функция с указанным именем не определена","Строка 408,20: Процедура или функция с указанным именем не определена (ПолучитьИмяВременногоФайла) #> ПрефиксФайлаPNG = <<?>>ПолучитьИмяВременногоФайла(); 	 (Проверка: Веб-клиент)"
"failed","Wed Aug 10 22:10:30 MSK 2022","Wed Aug 10 22:10:52 MSK 2022","21286","","","","","","Справочник.Проекты.Форма.LAD_ФормаЭлемента.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ПроверкаКадастровогоНомераНаСервере"""
"failed","Wed Aug 10 20:20:10 MSK 2022","Wed Aug 10 20:20:32 MSK 2022","21286","","","","","","ОбщийМодуль.СА_РаботаСФормамиКлиент.Модуль. 765,2: Переменная не определена","Строка 765,2: Переменная не определена (СА_ПрограммныеКомпоненты) #> <<?>>СА_ПрограммныеКомпоненты.Свойство(""КомпонентаПреобразованияВМногостраничныйФайл"", КомпонентаПреобразованияВМногостраничныйФайл); (Проверка: Толстый клиент (обычное приложение))"
"failed","Thu Aug 11 00:02:15 MSK 2022","Thu Aug 11 00:02:37 MSK 2022","21286","","","","","","Документ.toledo_Протокол.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: ТекстСодержания ""ТекстСодержанияПриИзменении"""
"failed","Thu Aug 11 01:21:22 MSK 2022","Thu Aug 11 01:21:43 MSK 2022","21286","","","","","","Документ.ПриходныйОрдерНаТовары.Форма.toledo_ДобавлениеИзлишков.Форма. Отсутствует обработчик","Отсутствует обработчик: Форма ""ОбработкаПроверкиЗаполненияНаСервере"""
"failed","Wed Aug 10 23:35:39 MSK 2022","Wed Aug 10 23:36:00 MSK 2022","21286","","","","","","Документ.toledo_ЗаявкаНаРегистрациюСкидки.Форма.ФормаРазбивкиПоЗаявкам.Форма. Пустой обработчик","Пустой обработчик: ""Применить"""
"failed","Wed Aug 10 23:21:49 MSK 2022","Wed Aug 10 23:22:10 MSK 2022","21286","","","","","","Документ.toledo_ЗаявкаНаПриемНаРаботу.Форма.ФормаДокумента.Форма. Возможно ошибочное свойство","Возможно ошибочное свойство: ""toledo_АльтернативныйПутьКОбщимФайлам"""
"failed","Wed Aug 10 23:38:08 MSK 2022","Wed Aug 10 23:38:29 MSK 2022","21286","","","","","","Документ.toledo_Меню.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: Дата ""ДатаПриИзменении"""
"failed","Wed Aug 10 22:22:34 MSK 2022","Wed Aug 10 22:22:55 MSK 2022","21286","","","","","","Справочник.ХарактеристикиНоменклатуры.Форма.ФормаЭлемента.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ПолучитьОсновнуюСкладскуюЯчейку"""
"failed","Thu Aug 11 00:51:13 MSK 2022","Thu Aug 11 00:51:34 MSK 2022","21286","","","","","","Документ.ЗаказКлиента.Форма.LAD_ФормаДобавленияУслугиДоставки.Форма. Отсутствует обработчик","Отсутствует обработчик: Форма ""ПриЗакрытии"""
"failed","Wed Aug 10 20:21:57 MSK 2022","Wed Aug 10 20:22:18 MSK 2022","21286","","","","","","ОбщийМодуль.СА_РаботаСФормамиКлиент.Модуль. 962,2: Переменная не определена","Строка 962,2: Переменная не определена (СА_ПрограммныеКомпоненты) #> <<?>>СА_ПрограммныеКомпоненты.Вставить(Имя, Значение); (Проверка: Толстый клиент (обычное приложение))"
"failed","Thu Aug 11 03:46:49 MSK 2022","Thu Aug 11 03:47:11 MSK 2022","21286","","","","","","Обработка.toledo_КонтурФокус.Форма.СвязиПартнеров.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ЕстьПравоОткрытия"""
"failed","Thu Aug 11 04:11:39 MSK 2022","Thu Aug 11 04:12:01 MSK 2022","21286","","","","","","Обработка.toledo_УстановкаСтатусовЗНП.Форма.ФормаУПП.Форма. 200,2: Процедура или функция с указанным именем не определена","Строка 200,2: Процедура или функция с указанным именем не определена (ПолучитьСерверТО) #> <<?>>ПолучитьСерверТО().ПодключитьКлиента(ЭтаФорма); (Проверка: Толстый клиент (обычное приложение))"
"failed","Wed Aug 10 16:46:36 MSK 2022","Wed Aug 10 16:46:57 MSK 2022","21286","","","","","","ОбщийМодуль.LAD_ОбщийМодульТол.Модуль. Возможно ошибочное свойство","Возможно ошибочное свойство: ""НастройкиПользователей"""
"failed","Thu Aug 11 03:48:36 MSK 2022","Thu Aug 11 03:48:57 MSK 2022","21286","","","","","","Обработка.toledo_ЛичныйКабинетДеловыеЛинии.Форма.ОсновнаяФорма.Форма. 9317,33: Переменная не определена","Строка 9317,33: Переменная не определена (ТипУзлаXML) #> ИначеЕсли ЧтениеXML.ТипУзла = <<?>>ТипУзлаXML.КонецЭлемента Тогда (Проверка: Веб-клиент)"
"failed","Thu Aug 11 04:03:51 MSK 2022","Thu Aug 11 04:04:12 MSK 2022","21286","","","","","","Обработка.toledo_РаботаCWacomSTU.Форма.РаботаСWacomSTUКлиент.Форма. Возможно ошибочный параметр","Возможно ошибочный параметр: ""toledo_pdftopng64"""
"failed","Thu Aug 11 02:19:54 MSK 2022","Thu Aug 11 02:20:16 MSK 2022","21286","","","","","","Отчет.LAD_ГарантийныеПисьма.Форма.ФормаОтчета.Форма. 231,80: Переменная не определена","Строка 231,80: Переменная не определена (КонецПериода) #> НастройкаПериода.УстановитьПериод(НачалоПериода, ?(КонецПериода='0001-01-01', <<?>>КонецПериода, КонецДня(КонецПериода))); (Проверка: Толстый клиент (обычное приложение))"
"failed","Wed Aug 10 20:36:08 MSK 2022","Wed Aug 10 20:36:29 MSK 2022","21286","","","","","","ПланОбмена.toledo_ОбменОбщейИформациейСiTS.МодульОбъекта. Пустой обработчик","Пустой обработчик: ""ПриЗаписи"""
"failed","Wed Aug 10 17:22:05 MSK 2022","Wed Aug 10 17:22:26 MSK 2022","21286","","","","","","ОбщийМодуль.toledo_ОбменСiTSСервер.Модуль. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ДобавитьВСписокXDTOЦеныНоменклатуры"""
"failed","Thu Aug 11 01:16:24 MSK 2022","Thu Aug 11 01:16:45 MSK 2022","21286","","","","","","Документ.ПриобретениеТоваровУслуг.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ВывестиСообщениеОбОшибкеВРеквизитах"""
